,0,1
370,a802300,1
371,g581405,1
372,gdt1500,1
373,gc5c702,1
374,ge2f200,1
375,gdju100,1
376,gega400,1
377,g140700,1
378,a623700,1
379,gamf700,1
380,6374777,1
381,6391052,1
382,7056959,1
383,6099842,1
384,7253710,1
385,6923992,1
386,6944453,1
387,6044397,1
388,5913229,1
389,7230343,1
390,6388126,1
391,7140634,1
392,7002104,1
393,7238887,1
394,6422343,1
395,7209625,1
396,7174497,1
397,6614890,1
398,6439518,1
399,7157015,1
400,7126644,1
401,6421472,1
402,6751242,1
403,7318819,1
404,7267798,1
405,7190475,1
406,7316903,1
407,6441918,1
408,7014093,1
409,6206844,1
410,7130652,1
411,7188480,1
412,7161632,1
413,6100211,1
414,7136773,1
415,7173873,1
416,6954695,1
417,5821561,1
418,6014807,1
419,6390199,1
420,5347967,1
421,6390217,1
422,7212629,1
423,6402274,1
424,6614065,1
425,7164791,1
426,6414830,1
427,7117499,1
428,7134596,1
429,7304435,1
430,7300024,1
431,1017479,1
432,5108013,1
433,7057462,1
434,6898007,1
435,6945230,1
436,6433933,1
437,6922916,1
438,7125883,1
439,7076619,1
440,7000564,1
441,7163728,1
442,6899447,1
443,7068642,1
444,1009812,1
445,7179280,1
446,7212640,1
447,6415066,1
448,1011542,1
449,7101911,1
450,5806622,1
451,7198569,1
452,7222118,1
453,6897336,1
454,1007946,1
455,7097772,1
456,6951561,1
457,7094338,1
458,7014084,1
459,7173226,1
460,6934183,1
461,6439036,1
462,7156104,1
463,6945705,1
464,1009653,1
465,7091048,1
466,7105611,1
467,6294427,1
468,7212239,1
469,7011120,1
470,1038475,1
471,7091021,1
472,7142642,1
473,7094280,1
474,7057726,1
475,7205617,1
476,6669704,1
477,6717764,1
478,7015511,1
479,6210958,1
480,7195224,1
481,7164998,1
482,6007128,1
483,6389563,1
484,7246556,1
485,6173838,1
486,7127057,1
