,0,1
365,ge7y600,1
366,gcap350,1
367,gdbt200,1
368,gam3105,1
369,p854502,1
370,g156700,1
371,a674600,1
372,gc1g700,1
373,gd5n108,1
374,gcma701,1
375,g784705,1
376,g279272,1
377,g815800,1
378,b223507,1
379,a023714,1
380,ge7v100,1
381,ge9n500,1
382,a827405,1
383,gecu000,1
384,g775401,1
385,g959101,1
386,gam3124,1
387,g732206,1
388,g599605,1
389,gdz8101,1
390,gdc5500,1
391,g581405,1
392,gdz8100,1
393,gdt1500,1
394,p471701,1
395,g008205,1
396,ge2f200,1
397,gd8b800,1
398,gega400,1
399,7067529,1
400,6374777,1
401,6391052,1
402,7062877,1
403,7056959,1
404,6099842,1
405,7253710,1
406,6923992,1
407,6944453,1
408,7222146,1
409,6044397,1
410,6998050,1
411,6152925,1
412,6388126,1
413,7140634,1
414,7065014,1
415,1051780,1
416,7238887,1
417,6422343,1
418,7209625,1
419,6614890,1
420,6439518,1
421,7157015,1
422,7126644,1
423,6421472,1
424,6751242,1
425,7267798,1
426,7190475,1
427,5428748,1
428,6415029,1
429,7316903,1
430,7161517,1
431,6100147,1
432,7014093,1
433,6206844,1
434,7130652,1
435,6953593,1
436,7161632,1
437,7136773,1
438,6963510,1
439,7173873,1
440,7216639,1
441,5821561,1
442,7146079,1
443,7010671,1
444,6390217,1
445,6440144,1
446,6376615,1
447,6614065,1
448,7164791,1
449,7134596,1
450,7304435,1
451,7193593,1
452,6429776,1
453,6908476,1
454,6410387,1
455,7300024,1
456,6387061,1
457,1017479,1
458,6439387,1
459,7057462,1
460,6945230,1
461,6433933,1
462,6352877,1
463,7125883,1
464,7076619,1
465,7000564,1
466,7163728,1
467,6425153,1
468,7068642,1
469,1009812,1
470,7212640,1
471,7164056,1
472,1011542,1
473,6434220,1
474,7101911,1
475,7198569,1
476,7222118,1
477,7190431,1
478,7120067,1
479,1006847,1
480,7056674,1
481,6951561,1
482,7094338,1
483,7014084,1
484,7120782,1
485,7156104,1
486,6945705,1
487,7091048,1
488,7105611,1
489,7212239,1
490,7120220,1
491,7011120,1
492,1092809,1
493,7102228,1
494,7105605,1
495,7091021,1
496,7126593,1
497,7142642,1
498,7094280,1
499,7057726,1
500,6717764,1
501,6007128,1
502,6772326,1
503,6389563,1
504,7246556,1
505,7127057,1
